wilayah_kode,wilayah,tahun,value
7306,Gowa,2017,68.33
5105,Klungkung,2020,71.73
5108,Buleleng,2017,71.11
1509,Bungo,2012,67.2
3527,Sampang,2016,59.09
1407,Rokan Hulu,2021,69.67
7212,Morowali Utara,2021,68.48
3315,Grobogan,2021,70.41
3508,Lumajang,2013,61.87
6405,Berau,2011,70.43
6305,Tapin,2019,70.13
6203,Kapuas,2021,69.63
7601,Majene,2016,64.8
1904,Bangka Tengah,2018,69.52
3271,Kota Bogor,2014,73.1
6171,Kota Pontianak,2022,80.48
1505,Muaro Jambi,2017,67.86
6304,Barito Kuala,2019,66.24
1112,Aceh Barat Daya,2013,62.62
1215,Humbang Hasundutan,2015,66.03
9604,Nabire,2023,70.84
1405,Siak,2011,70.2
9420,Keerom,2019,66.59
6107,Sintang,2021,66.93
1106,Aceh Tengah,2019,73.14
3529,Sumenep,2021,67.04
3509,Jember,2016,64.01
7100,SULAWESI UTARA,2014,69.96
3328,Tegal,2024,70.77
6101,Sambas,2011,60.57
2172,Kota Tanjung Pinang,2014,77.29
7201,Banggai Kepulauan,2021,65.61
9430,Lanny Jaya,2017,46.49
1905,Bangka Selatan,2022,67.95
3303,Purbalingga,2014,66.23
3326,Pekalongan,2014,66.98
3322,Semarang,2019,74.14
9416,Yahukimo,2012,43.82
1214,Nias Selatan,2022,63.17
3527,Sampang,2017,59.9
3328,Tegal,2012,62.67
5304,Timor Tengah Selatan,2015,59.9
1401,Kuantan Singingi,2011,65.72
1502,Merangin,2015,67.15
1218,Serdang Bedagai,2019,70.21
6301,Tanah Laut,2023,70.98
6304,Barito Kuala,2011,60.93
3321,Demak,2015,69.75
1810,Pringsewu,2019,69.97
9503,Mappi,2024,61.51
3373,Kota Salatiga,2010,78.35
7406,Bombana,2024,68.15
5306,Belu,2011,56.63
5303,Kupang,2021,64.41
1207,Labuhan Batu,2010,66.88
3174,Kota Jakarta Barat,2012,78.05
3402,Bantul,2015,77.99
3202,Sukabumi,2019,66.87
5300,NUSA TENGGARA TIMUR,2022,65.9
7373,Kota Palopo,2023,79.45
2100,KEPULAUAN RIAU,2011,71.61
5107,Karangasem,2024,69.74
6309,Tabalong,2010,65.87
1608,Ogan Komering Ulu Selatan,2013,61.58
6105,Sanggau,2023,67.77
1108,Aceh Besar,2013,70.61
